,title,company,logo,location
0,برنامه‌نویس فرانت اند ( Front-End),فناوران متحد | United Technologists,https://thumb2.jobinjacdn.com/6Zz98mGIbKaGLtoawYLkLUx7DLg=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/df07f24e-490c-4ba5-9af1-f120b3a072bd/main.png,تهران، تهران
1,برنامه‌نویس فرانت اند(Front-End),شبکه اطلاع رسانی طلا، سکه و ارز | TGJU,https://thumb2.jobinjacdn.com/DzgeeWQUgSWDvW3DbL3tmxIGvrw=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/150ccf90-a8e5-11e9-a183-d6b790452c1a_3ca1ea24-e763-4059-b5ac-c53befa3f5ca/main.png,تهران، تهران
2,برنامه‌نویس فرانت اند (Front-End-قم),سیگنال | Signal,https://thumb2.jobinjacdn.com/Q6NdC9uYJXrgSe0Smjr57Pb5MPI=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/731ae5ee-5579-11eb-b4bf-86000088a815_4b9b22c8-aa16-4233-97ec-5fbd603269a7/main.jpg,قم، قم
3,برنامه‌نویس فرانت اند (ASP.Net Front-End),رایانت ایرسا | Irsa Rayanet,https://thumb2.jobinjacdn.com/SgxBe9yToQIhAegO21Z8Y2U0mBQ=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/8ba77e4c-4026-11ea-962d-26a4da5b8340_77051d12-49ba-471a-a456-a88fae40ef32/main.jpg,تهران، تهران
4,Frontend Developer(Vue),شاواز | Shavaz,https://thumb2.jobinjacdn.com/eKjbGp8d3H_MJg1_2Yr_N_-oQj8=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/5a6391c1-5a7e-4728-82f2-d07765c926d6/main.png,تهران، تهران
5,برنامه‌نویس فرانت اند (Front-End-Mid Level),موسسه خدمات مدیریت و فناوری رشد قلم‌چی | GMTII,https://thumb2.jobinjacdn.com/KCNlsed66x4imRgmthhlDt2DXQ0=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/19302a38-733f-11e6-b681-06a874001fea_226c7f0c-3a67-4a61-a863-0f6d4681dbac/main.png,تهران، تهران
6,برنامه‌نویس فرانت اند (Front-End-امریه سربازی),دانش بنیان داده پرداز پویای شریف | Dadeh Pardaz,https://thumb2.jobinjacdn.com/tnqfQA_GETWpSfTyVQUtcg-n3bA=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/ba783f6a-3302-11e7-84fc-06a874001fea_3db169e3-3b79-4bdc-8f3f-171dca2ee584/main.jpg,تهران، تهران
7,برنامه‌نویس فرانت اند (Front-End-تهیه ویدئوی آموزشی-دورکاری),لرن فایلز | Learnfiles,https://thumb2.jobinjacdn.com/s8X57dAsB4mtEQ1vp5Q7ll3wkBo=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/fdf5d332-5249-4b35-abea-925bf8969207/main.png,تهران، تهران
8,Front-End Developer,راژمان الگوریتم هوپاد | Razhman Algorithm Hoopad,https://thumb2.jobinjacdn.com/j0k4Z04BiwXzxd5_DoI0t0bMcDE=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/ce69df53-efae-4dd1-9ad6-77092752d5d8/main.png,تهران، تهران
9,Front-End Developer,هم روش | Hamravesh,https://thumb2.jobinjacdn.com/WIOST-RSnaB0MEOLH7SVBloIBNg=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/9bff7000-36c5-4e87-b7d4-08131b09d101/main.png,تهران، تهران
10,Front-End Developer,آریانا شبکه آفاق | Ariyana Soft,https://thumb2.jobinjacdn.com/B0gEyT18dr_Bzs4V4bqbdlUwW-w=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e44e5534-6c67-45a1-85d8-4c8c054588cb/main.jpg,تهران، تهران
11,Front-End Developer,داروگ کلاود | Darvag Cloud,https://thumb2.jobinjacdn.com/D4DTFbilj6mJWs2uQr2S2uOmoGM=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e36c9f5c-4b62-47cd-87ba-e91278009230/main.png,تهران، تهران
12,Front-End Developer,هایمارت | Himart,https://thumb2.jobinjacdn.com/KCwQJmcwtGHVgfQK2c4WKdePzyk=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/9148fe0e-06c8-11e9-9088-d6b790452c1a_030baae6-7005-4635-87bb-8accb9fdd7b3/main.png,تهران، تهران
13,Senior Front-End Developer,ابرادین | Abroadin,https://thumb2.jobinjacdn.com/m0V-lkO3EW6LTRqbHJBb7v5mlxY=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/566afe93-419c-4d89-b3b0-12f5ea26a80c/main.jpg,تهران، تهران
14,توسعه‌دهنده Front-End,آرین | Arian,https://thumb2.jobinjacdn.com/J1VMZI_vbKeMn6M3irBcBG4mRJc=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e89ff778-f6f7-4ca5-a8c4-1df15a7e8a05/main.png,تهران، تهران
15,Front-End Developer (قم),عصر پردازش اطلاعات امین | Amin Internet Data Center,https://thumb2.jobinjacdn.com/TkWpz1yaXJ2zgTfUxY0g6c9RHyU=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/a82d05da-73a1-11e8-a636-26a4da5b8340_8bce6c7a-5619-4fa5-8fdf-60af8b07302a/main.png,قم، قم
16,Junior Front-End Developer,وب استار | Webstar,https://thumb2.jobinjacdn.com/bsdSXuwvipavt9jVmdugr15lcZY=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e485382b-d0b8-4f75-93c5-d2a759252389/main.jpg,تهران، تهران
17,Front-End Developer (تبریز),هلدینگ بین المللی G2 | G2,https://thumb2.jobinjacdn.com/ShQiLTj79E9PP_qCPRmGtP-hD6w=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e4e36fd1-8d59-46fe-87f2-6c4887264780/main.jpg,آذربایجان شرقی، تبریز
18,برنامه‌نویس Front-End,تجارت الکترونیکی فناوران ساویس مرجان | Sawiss Marjan Ecommerce Co,https://thumb2.jobinjacdn.com/q-iUZOxCsUHihnbVOTVBUvin8-I=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/a4225d59-5414-46b8-a973-3528153e7c3d/main.png,تهران، تهران
19,برنامه‌نویس Front-End,مهندسین نیکا رایان پویا | Nikarayan,https://thumb2.jobinjacdn.com/sqiuG9vSzaWvQb2E9TphVWp-vo4=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/b3ef3808-5cde-11e9-afe2-d6b790452c1a_a8cd2cd2-bbd2-44da-ac9b-22703a542c15/main.jpg,تهران، تهران
